lat,lon,ym,BC_AOD,SU_AOD,DU_AOD,DU_AOD_pm25,T2m,T850,T500,T250,QV2M,Q850,Q500,Q250,elevation
29.0,79.375,1982-10-01,0.011497666,0.19782875,0.053821407,0.030770153,23.953270000000032,291.34235,262.66098,228.59216,0.0105079925,0.0070073702,0.0008117879,5.1102917e-05,215.8316
29.0,79.375,1982-11-01,0.011376957,0.17706232,0.028120836,0.016141292,19.435080000000028,287.45462,261.33542,227.78758,0.0064757,0.004736672,0.0005031225,7.523819e-05,215.8316
29.0,79.375,1982-12-01,0.009461387,0.15843844,0.026432624,0.015773615,15.522700000000045,285.21387,258.60526,227.12788,0.004417349,0.0030561937,0.00074276497,5.383609e-05,215.8316
29.0,79.375,1983-01-01,0.011588312,0.16462693,0.021086324,0.012358234,13.834500000000048,281.62717,256.95126,224.3088,0.0039549395,0.0030559523,0.0005389332,5.0517032e-05,215.8316
29.0,79.375,1983-02-01,0.0082548205,0.13777272,0.040602818,0.023889277,16.112480000000005,283.22168,254.92435,225.3197,0.0042317156,0.0031980432,0.0005247622,4.1710286e-05,215.8316
29.0,79.375,1983-03-01,0.009174012,0.116490595,0.103283234,0.05970312,22.03860000000003,288.79294,258.03323,225.99295,0.0043635294,0.0032764256,0.00077689416,6.411303e-05,215.8316
29.0,79.375,1983-04-01,0.009053725,0.122946575,0.14263032,0.081791945,26.404780000000017,291.97675,260.80368,225.8404,0.006681162,0.0054436657,0.00095938944,8.093754e-05,215.8316
29.0,79.375,1983-05-01,0.010051324,0.12679373,0.20777327,0.11678807,32.06155000000001,296.69153,264.9388,229.88223,0.008833809,0.0073581957,0.0012354256,7.7573255e-05,215.8316
29.0,79.375,1983-06-01,0.008837047,0.114870474,0.17360067,0.096360944,33.95400000000001,298.8869,267.37582,236.36873,0.0099285925,0.00809712,0.001490778,0.00011863164,215.8316
29.0,79.375,1983-07-01,0.011292079,0.13614969,0.083001725,0.04700439,32.51260000000002,296.86816,270.9305,239.11885,0.01629467,0.013497013,0.0039221183,0.0003983184,215.8316
29.0,79.375,1983-08-01,0.011369558,0.14160664,0.04926592,0.028013438,29.01153000000005,294.42157,271.96988,238.79214,0.020123,0.01611504,0.00549792,0.00049274584,215.8316
29.0,79.375,1983-09-01,0.011415313,0.13003832,0.04076906,0.023168286,27.008020000000045,293.20908,270.05743,236.82971,0.01898832,0.014542453,0.0028760857,0.00022362753,215.8316
29.0,79.375,1983-10-01,0.010258405,0.1006589,0.035500497,0.021255322,23.21752000000004,291.0188,264.9865,232.87535,0.01082531,0.0068431576,0.0006803981,4.580197e-05,215.8316
29.0,79.375,1983-11-01,0.009511423,0.078072794,0.020270454,0.012116604,18.573300000000017,286.93744,261.0582,226.40024,0.0052370876,0.0031103762,0.00024074447,4.0576262e-05,215.8316
29.0,79.375,1983-12-01,0.011434509,0.103782795,0.014373413,0.008819186,15.066340000000023,283.72144,257.4588,225.9603,0.0044173724,0.0032417704,0.00039075688,4.8654838e-05,215.8316
29.0,79.375,1984-01-01,0.009252779,0.09297554,0.024067504,0.014423852,13.77215000000001,281.82983,255.53212,226.71909,0.0036630763,0.0027075878,0.00038217154,4.0273873e-05,215.8316
29.0,79.375,1984-02-01,0.009524727,0.100989655,0.054257933,0.03280385,15.596300000000042,283.45267,255.6605,226.43677,0.003826879,0.0027940604,0.0003597946,3.5305526e-05,215.8316
29.0,79.375,1984-03-01,0.0071399077,0.07241261,0.110854894,0.06490631,24.68652000000003,291.7804,260.7161,224.13322,0.0044484697,0.003636533,0.00062234665,6.005379e-05,215.8316
29.0,79.375,1984-04-01,0.010506173,0.08240332,0.18925461,0.10739484,30.38906000000003,295.48914,261.35776,228.81833,0.0050435956,0.0045933863,0.0008304105,4.463215e-05,215.8316
