lat,lon,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12
29.0,72.5,-265.39563999999996,-261.80969999999996,-255.98126999999994,-251.40329999999994,-243.61859999999996,-240.05451999999997,-241.04172999999997,-242.36115999999993,-246.92404999999997,-251.68429999999995,-254.58026999999993,-262.97412999999995
29.0,73.125,-265.751,-262.13181999999995,-255.99262999999996,-251.76865999999995,-244.02029999999996,-240.61075999999997,-242.00843999999995,-243.88632999999993,-247.81363999999996,-252.31055999999995,-254.80551999999994,-262.86889999999994
29.0,73.75,-265.73975999999993,-262.0816,-256.09999999999997,-251.89209999999997,-244.42453999999998,-241.22116999999997,-242.49735999999996,-244.38986999999997,-247.93811999999997,-252.32996999999995,-255.18912999999998,-262.81359999999995
29.0,74.375,-265.92979999999994,-262.11994999999996,-256.48103,-252.03507999999994,-244.93613999999997,-241.97013999999996,-243.03867999999994,-245.00681999999995,-248.24279999999993,-252.71704999999997,-255.66464999999994,-262.69478
29.0,75.0,-266.44193999999993,-262.31569999999994,-256.94749999999993,-252.26369999999997,-245.36554999999993,-242.72431999999998,-243.60572999999994,-245.45389999999998,-248.49124999999998,-252.95899999999995,-256.15033999999997,-262.68242
29.0,75.625,-267.12729999999993,-262.63794999999993,-257.36862999999994,-252.46344999999997,-245.60193999999996,-243.29929999999996,-244.33606999999995,-245.89893999999998,-248.81937999999997,-253.24124999999998,-256.655,-262.85883999999993
29.0,76.25,-267.83982999999995,-263.12427999999994,-258.02185999999995,-252.60119999999995,-245.72592999999995,-243.98834999999997,-245.10825999999997,-246.53552999999994,-249.23839999999996,-253.79089999999997,-257.54499999999996,-263.30893999999995
29.0,76.875,-268.07562999999993,-263.31204999999994,-258.6070399999999,-252.76163999999994,-245.47644999999994,-244.33991999999995,-245.70249999999993,-247.10507999999993,-249.53342999999995,-254.30019999999996,-258.38611999999995,-263.85065999999995
29.0,77.5,-268.24195999999995,-263.43719999999996,-258.64759999999995,-252.69861999999995,-245.33529999999996,-244.97219999999993,-246.75189999999998,-247.66859999999997,-249.80036999999993,-254.81986999999998,-259.09369999999996,-264.19425999999993
29.0,78.125,-267.87239999999997,-262.87873999999994,-258.18415999999996,-252.64679999999993,-245.59842999999995,-245.35657999999995,-247.26449999999994,-247.86316999999997,-249.81183999999996,-254.69109999999995,-259.45905999999997,-264.0123
29.0,78.75,-266.6739299999999,-261.5328999999999,-257.23227999999995,-251.98089999999996,-245.66141999999996,-245.45761999999996,-247.16016999999994,-247.87323999999995,-249.55011999999994,-253.91086999999993,-258.97468,-262.62422
29.0,79.375,-265.51685999999995,-260.98001999999997,-257.19699999999995,-252.42414999999994,-246.45426999999995,-246.36545999999993,-247.88899999999995,-248.41809999999998,-249.57614999999993,-253.88236999999998,-258.65867,-262.05994999999996
29.0,80.0,-265.4782799999999,-261.37372999999997,-258.14557999999994,-253.46762999999993,-247.91495999999995,-247.76752999999997,-248.54979999999995,-249.01739999999995,-249.98682999999994,-254.60416999999995,-259.57141999999993,-262.90079999999995
29.0,80.625,-266.29259999999994,-263.39102999999994,-261.04779999999994,-257.18559999999997,-252.15839999999997,-251.32065999999998,-250.73474999999996,-250.99747999999994,-251.88785999999993,-256.15306,-260.57089999999994,-263.45572999999996
29.0,81.25,-268.73163999999997,-266.27747999999997,-263.5092599999999,-259.36395999999996,-254.54249999999996,-252.99149999999997,-252.53137999999996,-252.64819999999997,-253.78031999999996,-258.08322999999996,-262.42269999999996,-265.9677
29.5,72.5,-265.61929999999995,-262.58646999999996,-256.41398,-251.91864999999996,-243.70729999999998,-240.13782999999995,-240.81641999999994,-242.18827999999996,-247.34436999999997,-252.10289999999998,-255.23939999999993,-263.49177
29.5,73.125,-266.0078,-262.80899999999997,-256.48279999999994,-252.06162999999998,-244.04047999999995,-240.48105999999996,-241.74433999999997,-243.36466999999993,-247.79071999999996,-252.47916999999995,-255.30969999999996,-263.31319999999994
